POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1A LEEDS BASIC SCHOOL,69,45,,,,1,115,53.00%,217,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
1 1B LEEDS BASIC SCHOOL,76,43,,,,0,119,54.84%,217,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
2 2 DONNA MCGREGOR'S PREMISES,126,46,,,,1,173,59.45%,291,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
3 3 ST. ALBANS ALL AGE SCHOOL,140,92,,,,3,235,56.63%,415,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
4 4 ST. ALBANS ALL AGE SCHOOL,22,51,,,,0,73,57.03%,128,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
5 5 BETHLEHEM ALL AGE SCHOOL,43,98,,,,0,141,54.02%,261,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
6 6 BETHLEHEM ALL AGE SCHOOL,90,106,,,,0,196,50.52%,388,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
7 7 JENNEL PLUMMER'S PREMISES,51,64,,,,0,115,52.75%,218,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
8 8 MERIBAH OLD TEACHERS COTTAGE,127,39,,,,1,167,64.48%,259,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
9 9 KINOWL COMMUNITY CENTRE,82,71,,,,2,155,59.39%,261,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
10 10 BETHLEHEM ALL AGE SCHOOL,60,180,,,,0,240,64.00%,375,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
11 11 HOPETON ALL AGE SCHOOL,191,30,,,,2,223,55.75%,400,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
12 12 ROSE HALL ALL AGE SCHOOL,69,103,,,,0,172,67.98%,253,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
13 13 ST. MARY'S ALL AGE SCHOOL,58,60,,,,1,119,63.64%,187,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
14 14 ROSE HALL ALL AGE SCHOOL,76,171,,,,1,248,72.09%,344,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
15 15 ST. MARY'S ALL AGE SCHOOL,117,48,,,,0,165,60.22%,274,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
16 16 ST. MARY'S ALL AGE SCHOOL,94,73,,,,1,168,68.02%,247,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
17 17 EPPING FOREST ALL AGE SCHOOL,92,30,,,,0,122,56.48%,216,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
18 18 EPPING FOREST ALL AGE SCHOOL,62,37,,,,0,99,46.92%,211,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
19 19 EPPING FOREST ALL AGE SCHOOL,43,116,,,,1,160,65.31%,245,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
20 20A EPPING FOREST ALL AGE SCHOOL,43,80,,,,0,123,58.29%,211,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
20 20B EPPING FOREST ALL AGE SCHOOL,55,61,,,,0,116,54.98%,211,ST. ELIZABETH SOUTH EASTERN (42),MALVERN (12),
"21 21 NORTHAMPTON MTN, BASIC SCHOOL",119,100,,,,0,219,61.69%,355,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
22 22 RUSSELL'S ALL AGE SCHOOL,104,103,,,,3,210,63.25%,332,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
23 23 BUENA VISTA COMMUNITY CENTRE,182,26,,,,3,211,72.76%,290,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
24 24 AUSTIN PRIMARY SCHOOL,123,40,,,,1,164,59.64%,275,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
25 25A NEW BUILDING COMMUNITY CENTRE,117,23,,,,0,140,60.61%,231,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
25 25B NEW BUILDING COMMUNITY CENTRE,117,42,,,,0,159,68.83%,231,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
26 26A NEW BUILDING COMMUNITY CENTRE,110,37,,,,1,148,66.07%,224,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
26 26B NEW BUILDING COMMUNITY CENTRE,106,26,,,,0,132,58.67%,225,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
27 27 NAIN PRIMARY & JUNIOR HIGH SCHOOL,122,73,,,,1,196,48.16%,407,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
28 28 NAIN PRIMARY & JUNIOR HIGH SCHOOL,66,41,,,,0,107,41.31%,259,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
29 29 NAIN PRIMARY & JUNIOR HIGH SCHOOL,60,47,,,,2,109,52.40%,208,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
30 30 NAIN PRIMARY & JUNIOR HIGH SCHOOL,78,79,,,,0,157,50.48%,311,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
31 31 AUSTIN PRIMARY SCHOOL,86,7,,,,0,93,56.71%,164,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
32 32 AUSTIN PRIMARY SCHOOL,163,43,,,,3,209,61.83%,338,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
33 33 WARMINSTER ALL AGE SCHOOL,162,28,,,,1,191,55.04%,347,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
34 34 BRINKLEY PRIMARY SCHOOL,162,75,,,,3,240,64.34%,373,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
35 35 RED BANK ALL AGE SCHOOL,185,66,,,,2,253,69.32%,365,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
36 36 RED BANK ALL AGE SCHOOL,109,94,,,,0,203,72.24%,281,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
37 37A MORNINGSIDE PRIMARY SCHOOL,107,29,,,,2,138,65.09%,212,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
37 37B MORNINGSIDE PRIMARY SCHOOL,95,31,,,,1,127,59.91%,212,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
38 38 RED BANK ALL AGE SCHOOL,94,54,,,,0,148,66.67%,222,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
39 39 RED BANK ALL AGE SCHOOL,91,109,,,,0,200,65.79%,304,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
40 40 BRINKLEY BASIC SCHOOL,158,131,,,,4,293,71.46%,410,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
41 41 BRINKELY PRIMARY SCHOOL,73,73,,,,1,147,58.57%,251,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
42 42 BRINKELY PRIMARY SCHOOL,81,81,,,,0,162,64.29%,252,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
43 43 LITITZ ALL AGE SCHOOL,102,74,,,,1,177,56.19%,315,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
44 44 LITITZ ALL AGE SCHOOL,67,78,,,,2,147,61.25%,240,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
45 45 NAIN PRIMARY & JUNIOR HIGH SCHOOL,113,96,,,,1,210,56.15%,374,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
46 46 LITITZ ALL AGE SCHOOL,77,51,,,,0,128,55.41%,231,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
47 47 LITITZ ALL AGE SCHOOL,63,78,,,,2,143,57.43%,249,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
48 48 LITITZ ALL AGE SCHOOL,53,129,,,,1,183,60.20%,304,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
49 49 LITITZ ALL AGE SCHOOL,39,94,,,,1,134,61.47%,218,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
50 50 LITITZ ALL AGE SCHOOL,45,127,,,,1,173,58.45%,296,ST. ELIZABETH SOUTH EASTERN (42),MYERSVILLE (13),
51 51 PORTSEA HEALTH CENTRE,82,131,,,,0,213,56.95%,374,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
52 52 ROSE HALL ALL AGE SCHOOL,55,122,,,,1,178,60.96%,292,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
53 53 SEAVIEW ALL AGE SCHOOL,49,159,,,,2,210,61.76%,340,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
54 54 SEAVIEW ALL AGE SCHOOL,58,79,,,,0,137,65.24%,210,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
55 55 SEAVIEW ALL AGE SCHOOL,56,124,,,,0,180,62.72%,287,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
56 56 SEAVIEW ALL AGE SCHOOL,53,95,,,,1,149,55.60%,268,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
57 57A MAYFIELD ALL AGE SCHOOL,64,72,,,,0,136,60.44%,225,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
57 57B MAYFIELD ALL AGE SCHOOL,65,66,,,,0,131,57.96%,226,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
58 58A MAYFIELD ALL AGE SCHOOL,45,63,,,,0,108,48.87%,221,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
58 58B MAYFIELD ALL AGE SCHOOL,51,75,,,,0,126,57.01%,221,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
59 59 MAYFIELD ALL AGE SCHOOL,44,71,,,,1,116,52.02%,223,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
60 60 MAYFIELD ALL AGE SCHOOL,109,79,,,,3,191,59.32%,322,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
61 61 ROSE HALL ALL AGE SCHOOL,71,87,,,,0,158,60.31%,262,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
62 62 MANNING BOYS HOME,88,87,,,,3,178,54.60%,326,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
63 63 MANNING BOYS HOME,63,90,,,,0,153,50.33%,304,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
64 64 SOUTHFIELD EARLY CHILDHOOD INST.,98,82,,,,0,180,56.25%,320,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
65 65 TOP HILL PRIMARY SCHOOL,34,108,,,,1,143,64.13%,223,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
66 66 TOP HILL PRIMARY SCHOOL,20,131,,,,2,153,66.81%,229,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
67 67 TOP HILL PRIMARY SCHOOL,54,116,,,,0,170,62.27%,273,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
68 68 TOP HILL PRIMARY SCHOOL,72,162,,,,0,234,61.10%,383,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
69 69A BALLARDS VALLEY PRIMARY SCHOOL,67,74,,,,1,142,61.47%,231,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
69 69B BALLARDS VALLEY PRIMARY SCHOOL,55,76,,,,1,132,56.90%,232,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
70 70A MORNINGSIDE PRIMARY SCHOOL,59,66,,,,1,126,58.33%,216,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
70 70B MORNINGSIDE PRIMARY SCHOOL,71,69,,,,1,141,64.98%,217,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
71 71 TOP HILL PRIMARY SCHOOL,48,91,,,,0,139,60.96%,228,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
72 72 TOP HILL PRIMARY SCHOOL,52,89,,,,0,141,62.11%,227,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
73 73 TOP HILL PRIMARY SCHOOL,28,90,,,,1,119,63.30%,188,ST. ELIZABETH SOUTH EASTERN (42),SOUTHFIELD (14),
74 74 BALLARDS VALLEY PRIMARY SCHOOL,92,90,,,,1,183,62.03%,295,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
75 75 BALLARDS VALLEY PRIMARY SCHOOL,67,81,,,,0,148,60.16%,246,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
76 76 TRYALL BASIC SCHOOL,45,206,,,,2,253,63.89%,396,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
77 77 BULL SAVANNAH PRIMARY SCHOOL,122,128,,,,2,252,67.74%,372,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
78 78 BALLARDS VALLEY PRIMARY SCHOOL,51,71,,,,0,122,62.89%,194,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
79 79 BULL SAVANNAH PRIMARY SCHOOL,84,101,,,,0,185,63.57%,291,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
80 80 BULL SAVANNAH PRIMARY SCHOOL,93,75,,,,0,168,54.90%,306,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
81 81 BULL SAVANNAH PRIMARY SCHOOL,129,72,,,,1,202,63.92%,316,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
82 82 BULL SAVANNAH PRIMARY SCHOOL,87,57,,,,1,145,63.60%,228,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
83 83 JUNCTION WOMEN'S CENTRE,71,78,,,,1,150,53.38%,281,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
EPM 84 84 JUNCTION WOMEN'S CENTRE,290,192,,,,3,485,190.94%,254,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
85 85 B.B. COKE HIGH SCHOOL,112,100,,,,0,212,66.04%,321,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
86 86 B.B. COKE HIGH SCHOOL,99,53,,,,0,152,57.58%,264,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
EPM 87 87 JUNCTION WOMEN'S CENTRE,55,148,,,,1,204,81.93%,249,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
88 88 JUNCTION WOMEN'S CENTRE,60,92,,,,1,153,52.40%,292,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
89 89 B.B. COKE HIGH SCHOOL,102,97,,,,2,201,62.81%,320,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
90 90A B.B. COKE HIGH SCHOOL,21,100,,,,0,121,57.35%,211,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
90 90B B.B. COKE HIGH SCHOOL,25,104,,,,1,130,61.32%,212,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
91 91 BULL SAVANNAH BASIC SCHOOL,106,151,,,,1,258,68.07%,379,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
92 92 BULL SAVANNAH BASIC SCHOOL,132,108,,,,1,241,64.44%,374,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
93 93 TRYALL BASIC SCHOOL,36,169,,,,2,207,58.47%,354,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
94 94 TRYALL BASIC SCHOOL,39,155,,,,0,194,58.61%,331,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
95 95 BULL SAVANNAH PRIMARY SCHOOL,83,129,,,,0,212,62.72%,338,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
96 96 B.B. COKE HIGH SCHOOL,35,131,,,,0,166,63.12%,263,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
97 97 B.B. COKE HIGH SCHOOL,32,90,,,,0,122,58.37%,209,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
98 98 BULL SAVANNAH BASIC SCHOOL,124,62,,,,2,188,52.66%,357,ST. ELIZABETH SOUTH EASTERN (42),JUNCTION (15),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Mckulsky Hidran Pay,PNP Stewart Michael,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 PORUS PRIMARY SCHOOL,49,94,,,,1,144,54.75%,263,MANCHESTER SOUTHERN (43),PORUS (1),
2 2 PORUS PRIMARY SCHOOL,51,137,,,,0,188,52.81%,356,MANCHESTER SOUTHERN (43),PORUS (1),
3 3 PORUS PRIMARY SCHOOL,40,46,,,,1,87,38.67%,225,MANCHESTER SOUTHERN (43),PORUS (1),
4 4A PORUS PRIMARY SCHOOL,40,60,,,,1,101,46.98%,215,MANCHESTER SOUTHERN (43),PORUS (1),
4 4B PORUS PRIMARY SCHOOL,28,54,,,,2,84,39.07%,215,MANCHESTER SOUTHERN (43),PORUS (1),
5 5 BEULAH CHURCH OF JESUS CHRIST APOSTOLIC,67,91,,,,1,159,55.02%,289,MANCHESTER SOUTHERN (43),PORUS (1),
6 6 PORUS POLICE STATION,44,90,,,,2,136,41.09%,331,MANCHESTER SOUTHERN (43),PORUS (1),
7 7 PORUS POLICE STATION,39,73,,,,0,112,38.36%,292,MANCHESTER SOUTHERN (43),PORUS (1),
8 8 PORUS FIXED CENTRE,26,66,,,,2,94,39.00%,241,MANCHESTER SOUTHERN (43),PORUS (1),
9 9 PORUS INFANT SCHOOL,34,118,,,,2,154,42.78%,360,MANCHESTER SOUTHERN (43),PORUS (1),
10 10 PORUS INFANT SCHOOL,30,98,,,,1,129,38.86%,332,MANCHESTER SOUTHERN (43),PORUS (1),
11 11A JAMES LEVY'S PREMISES,56,49,,,,5,110,46.03%,239,MANCHESTER SOUTHERN (43),PORUS (1),
11 11B JAMES LEVY'S PREMISES,69,55,,,,2,126,52.72%,239,MANCHESTER SOUTHERN (43),PORUS (1),
12 12 ST. JAGO ALL AGE SCHOOL,20,62,,,,3,85,42.50%,200,MANCHESTER SOUTHERN (43),PORUS (1),
13 13 RAMBLE ALL AGE SCHOOL,28,97,,,,3,128,43.39%,295,MANCHESTER SOUTHERN (43),PORUS (1),
14 14 ST. JAGO ALL AGE SCHOOL,27,80,,,,1,108,46.15%,234,MANCHESTER SOUTHERN (43),PORUS (1),
15 15 ST. TOOLIS BASIC SCHOOL,149,37,,,,7,193,47.19%,409,MANCHESTER SOUTHERN (43),PORUS (1),
16 16 ST. TOOLIS BASIC SCHOOL,55,75,,,,3,133,63.03%,211,MANCHESTER SOUTHERN (43),PORUS (1),
17 17 ST. TOOLIS BASIC SCHOOL,81,30,,,,5,116,48.13%,241,MANCHESTER SOUTHERN (43),PORUS (1),
18 18 HARMONS ALL AGE SCHOOL,118,58,,,,3,179,49.04%,365,MANCHESTER SOUTHERN (43),PORUS (1),
19 19 HARMONS ALL AGE SCHOOL,50,89,,,,3,142,45.95%,309,MANCHESTER SOUTHERN (43),PORUS (1),
20 20 HARMONS ALL AGE SCHOOL,146,46,,,,7,199,53.49%,372,MANCHESTER SOUTHERN (43),PORUS (1),
21 21 VICTORIA TOWN ALL AGE SCHOOL,32,57,,,,3,92,44.88%,205,MANCHESTER SOUTHERN (43),PORUS (1),
22 22 VICTORIA TOWN ALL AGE SCHOOL,67,72,,,,2,141,58.26%,242,MANCHESTER SOUTHERN (43),PORUS (1),
23 23 VICTORIA TOWN ALL AGE SCHOOL,57,71,,,,2,130,51.38%,253,MANCHESTER SOUTHERN (43),PORUS (1),
24 24 MT. OLIPHANT CHURCH OF GOD,63,73,,,,5,141,52.42%,269,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
25 25 JENNIFFER WILLIAMS' PREMISES,88,41,,,,5,134,56.54%,237,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
26 26 ASIA POLICE STATION,41,39,,,,1,81,46.82%,173,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
27 27 PRATVILLE PRIMARY SCHOOL,55,51,,,,1,107,50.71%,211,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
28 28 PRATVILLE PRIMARY SCHOOL,98,103,,,,1,202,52.88%,382,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
29 29 PRATVILLE PRIMARY SCHOOL,100,93,,,,1,194,50.13%,387,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
30 30 ASIA POLICE STATION,58,101,,,,2,161,48.94%,329,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
31 31 FRANKFIELD PRIMARY SCHOOL,59,105,,,,1,165,45.71%,361,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
EPM 32 32 GROVE TOWN BASIC SCHOOL,201,265,,,,3,469,232.18%,202,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
33 33 GROVE TOWN PRIMARY SCHOOL,100,95,,,,2,197,50.64%,389,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
34 34 GROVE TOWN PRIMARY SCHOOL,122,51,,,,1,174,47.67%,365,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
35 35 GROVE TOWN PRIMARY SCHOOL,63,34,,,,2,99,41.08%,241,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
36 36 GROVE TOWN PRIMARY SCHOOL,34,58,,,,3,95,45.02%,211,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
37 37 LANCASTER EMMANUEL APOSTOLIC CHURCH,43,41,,,,1,85,52.15%,163,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
38 38 LANCASTER LIBRARY,35,50,,,,2,87,55.77%,156,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
39 39 LANCASTER EMMANUEL APOSTOLIC CHURCH,58,48,,,,1,107,54.04%,198,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
40 40 WOODLANDS PRIMARY SCHOOL,114,13,,,,4,131,50.38%,260,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
41 41 WOODLANDS PRIMARY SCHOOL,109,22,,,,1,132,49.44%,267,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
42 42 CROSS KEYS HIGH SCHOOL,96,45,,,,0,141,41.23%,342,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
43 43 CROSS KEYS HIGH SCHOOL,40,58,,,,4,102,38.35%,266,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
44 44 SMITHFIELD ANGLICAN CHURCH,136,38,,,,1,175,49.30%,355,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
45 45 RESOURCE BASIC SCHOOL,80,11,,,,1,92,43.40%,212,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
46 46 MARLIE HILL PRIMARY SCHOOL,93,59,,,,3,155,50.00%,310,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
47 47 MARLIE HILL PRIMARY SCHOOL,107,83,,,,0,190,61.89%,307,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
48 48 MARLIE HILL PRIMARY SCHOOL,75,50,,,,2,127,49.61%,256,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
49 49 NEW BROUGHTON PRIMARY SCHOOL,68,37,,,,2,107,48.64%,220,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
50 50 CROSS KEYS HIGH SCHOOL,80,94,,,,0,174,43.94%,396,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
51 51 PLOWDEN BASIC SCHOOL,98,67,,,,2,167,50.45%,331,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
52 52 PLOWDEN ALL AGE SCHOOL,91,20,,,,1,112,57.14%,196,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
53 53 PLOWDEN ALL AGE SCHOOL,127,48,,,,0,175,60.76%,288,MANCHESTER SOUTHERN (43),GROVE TOWN (2),
54 54 PROSPECT PRIMARY SCHOOL,16,117,,,,0,133,42.49%,313,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
55 55 PROSPECT PRIMARY SCHOOL,42,74,,,,0,116,41.28%,281,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
56 56 PROSPECT PRIMARY SCHOOL,57,66,,,,2,125,48.08%,260,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
57 57 PROSPECT PRIMARY SCHOOL,31,97,,,,5,133,44.78%,297,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
58 58 PROSPECT SHILOH APOSTOLIC CHURCH,97,64,,,,2,163,50.46%,323,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
59 59 PROSPECT SHILOH APOSTOLIC CHURCH,21,100,,,,1,122,52.14%,234,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
60 60 FERGUSON ALL AGE SCHOOL,23,29,,,,1,53,43.09%,123,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
61 61 DOWNS COMMUNITY CENTRE,54,106,,,,0,160,51.45%,311,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
62 62A PROSPECT SHILOH APOSTOLIC CHURCH,36,75,,,,2,113,49.56%,228,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
62 62B PROSPECT SHILOH APOSTOLIC CHURCH,48,56,,,,2,106,46.49%,228,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
63 63 DOWNS COMMUNITY CENTRE,71,104,,,,0,175,44.42%,394,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
64 64 NEW FOREST JUNIOR HIGH SCHOOL,70,81,,,,1,152,41.53%,366,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
65 65 NEW FOREST JUNIOR HIGH SCHOOL,38,75,,,,1,114,42.70%,267,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
66 66 DOWNS COMMUNITY CENTRE,79,105,,,,0,184,44.77%,411,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
67 67 ALLIGATOR POND PRIMARY SCHOOL,49,55,,,,0,104,55.61%,187,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
68 68 ALLIGATOR POND PRIMARY SCHOOL,153,27,,,,0,180,72.29%,249,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
69 69 ALLIGATOR POND PRIMARY SCHOOL,49,49,,,,1,99,50.51%,196,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
70 70 ALLIGATOR POND PRIMARY SCHOOL,90,98,,,,1,189,70.00%,270,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
71 71 PLOWDEN ALL AGE SCHOOL,91,79,,,,0,170,65.38%,260,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
72 72 PLOWDEN ALL AGE SCHOOL,37,77,,,,0,114,51.12%,223,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
73 73 NEW FOREST JUNIOR HIGH SCHOOL,76,70,,,,1,147,51.58%,285,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
74 74 NEW FOREST JUNIOR HIGH SCHOOL,54,84,,,,0,138,43.53%,317,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
75 75 NEW FOREST JUNIOR HIGH SCHOOL,22,79,,,,0,101,44.49%,227,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
